CIN,LLPIN,Entity Status,Date of Incorporation,Paid-up Capital,PAN,GSTIN,GSTR Variance %,ITC Availed,Audited Net Income,Inventory,Accounts Receivable,EBITDA,Long-Term Debt,Cheque Bounces,NACH Returns,OD Utilization,NACH Obligation %,CMR Rank,Asset Classification,Wilful Defaulter,Capacity Utilization,Machinery Status,Promoter Experience,Contingent Liabilities,Auditor Qualifications,Shareholding Pledge,Risk Premium,Target_Decision
U58054MH2007PTC875193,AAA-7848,Active,2000-01-04,5145080,HNLRU0824O,27ZHMCA6354J1Z5,9.44,926114.4,24341767,2828749,22696918,5558891,17188483,8,2,107%,73%,7,NPA,False,68%,Dilapidated,7,72436,Qualified,21%,2.66%,0
L14828GJ2013PTC041464,AAA-2942,Active,2004-10-01,56721541,RJUTG6962U,27FVBIM8820I1Z5,7.86,10209877.38,34964537,2188280,265116841,16618849,4088531,6,2,103%,16%,7,SMA-2,True,94%,Dilapidated,15,4923649,Adverse,33%,2.33%,0
L99112TN1997PTC397344,AAA-3354,Active,2007-12-18,25438719,MEJMM5268H,27PTNQT1058P1Z5,4.06,4578969.42,212433,4479548,59636225,1470408,89436285,3,3,63%,64%,6,SMA-1,False,44%,Dilapidated,10,952238,Qualified,41%,5.28%,2
L19467DL2011PTC674656,AAA-6296,Dormant,2017-03-12,25818572,HKIKA6273G,27FJQYJ5762Q1Z5,4.62,4647342.96,4316893,1414156,50005181,1241303,67244349,2,2,70%,25%,5,SMA-2,False,56%,Dilapidated,17,4209692,Clean,25%,0.94%,2
U46444MH2011PTC446998,AAA-7409,Active,2021-10-18,82957986,ZFBQJ8611P,27KRTXR2041G1Z5,5.8,14932437.48,33789326,553922,1741757,5852581,65466149,1,0,52%,30%,1,Standard,False,73%,Modern,39,9354140,Clean,21%,3.12%,1
L73979KA2001PTC643398,AAA-1574,Active,2012-01-27,61290280,LEYQZ7508D,27PCPPZ2654Q1Z5,6.65,11032250.4,40760721,2081607,193381750,3658351,91371506,8,5,100%,49%,8,NPA,True,55%,Modern,24,1215226,Adverse,12%,3.21%,0
U19157GJ1996PTC644317,AAA-5829,Active,2007-01-05,23803902,UOFDF5147Q,27KDGHA4060Q1Z5,0.44,4284702.36,7564224,4242039,18073934,17257716,80091744,1,0,37%,64%,1,Standard,False,49%,Dilapidated,18,3041996,Clean,25%,0.68%,1
L68979GJ2006PTC451824,AAA-8110,Active,2006-06-15,84390782,LZFPQ8330Z,27JFVGM3523D1Z5,0.09,15190340.76,45238138,1906683,27732091,8650919,20751895,0,1,45%,50%,3,Standard,False,74%,Legacy,17,6578183,Clean,20%,0.62%,1
L30521GJ2013PTC624637,AAA-5812,Active,2019-09-27,49323299,DEPSN7873C,27CXRSJ2882F1Z5,10.67,8878193.82,1128827,1386943,165594183,1196946,72061744,3,4,101%,74%,7,SMA-2,True,88%,Modern,3,4696327,Qualified,13%,3.34%,0
U02705DL1996PTC747924,AAA-8138,Active,2011-04-22,38001255,WVBSQ7390U,27XEMFW5921X1Z5,11.91,6840225.9,10036663,279175,34801898,12142366,22435593,1,0,10%,35%,1,Standard,False,64%,Legacy,14,996913,Clean,36%,2.1%,1
L19702KA1998PTC420991,AAA-6654,Active,2007-12-26,17272971,QAZCP2804K,27MANDB1610Q1Z5,1.93,3109134.78,41131974,78991,257953427,1810287,37509198,1,1,49%,57%,3,Standard,False,74%,Dilapidated,40,1082628,Clean,34%,2.01%,1
U17415MH2021PTC189290,AAA-6448,Active,2008-07-09,39283912,QMVJM9128T,27NOQVH8580O1Z5,1.78,7071104.16,487195,1114334,8037482,1131290,79600704,4,2,60%,29%,5,SMA-1,False,61%,Modern,8,4523530,Qualified,43%,1.94%,2
L09822TN2019PTC488579,AAA-6488,Dormant,2023-08-14,3064490,FZVUQ5791K,27KUWRA6180Z1Z5,6.64,551608.2,3038665,1934186,157511924,1804369,41421379,7,5,97%,59%,10,NPA,True,40%,Modern,5,463149,Adverse,23%,0.58%,0
U64176TN2013PTC256910,AAA-3171,Active,2025-06-18,28212393,VEBSP6331H,27CGLZP6065H1Z5,10.91,5078230.74,7082622,4813198,219005473,4658315,42582438,5,3,105%,15%,7,NPA,True,90%,Modern,11,2174380,Adverse,50%,4.62%,0
U12908KA1997PTC834527,AAA-4507,Active,2017-09-19,40311343,KGYVW5009F,27GHXHB0805W1Z5,7.02,7256041.74,27219691,2815819,67894385,3156359,51667337,1,0,18%,14%,1,Standard,False,59%,Legacy,29,7135054,Clean,38%,4.76%,1
U95767GJ1991PTC728372,AAA-1399,Active,1996-03-13,6994873,SGGRP5972F,27TYPXR0474W1Z5,0.85,1259077.14,24269404,1108227,208800142,17686156,93693725,0,0,39%,35%,1,Standard,False,45%,Dilapidated,9,292564,Clean,20%,1.74%,1
L76240KA2008PTC342889,AAA-2220,Active,2012-03-26,19247989,ZFSLI8473K,27GBIMS5778R1Z5,3.5,3464638.02,20862403,2408531,5840909,6380077,33487101,4,3,109%,53%,9,NPA,True,47%,Dilapidated,11,2521992,Qualified,34%,2.52%,0
U04533MH2007PTC261111,AAA-3347,Active,2017-03-10,25526349,TRTMB3593B,27KLXXT3744Z1Z5,1.6,4594742.82,4000621,1865628,279248258,16246617,43217083,0,0,11%,16%,2,Standard,False,67%,Legacy,8,1739522,Clean,9%,3.9%,1
U83219KA2003PTC192734,AAA-5520,Active,2002-03-30,77438546,OODFS0012R,27GXAMC3542D1Z5,3.55,13938938.28,4873131,607315,124665700,985850,96783615,4,3,68%,75%,5,SMA-1,False,87%,Modern,32,12587735,Clean,39%,1.13%,2
L99977GJ2015PTC177717,AAA-4047,Active,2024-04-15,57290867,QMAHY4681E,27DDUES0813R1Z5,9.52,10312356.06,1002375,2231785,24324386,149024,15603845,2,3,63%,58%,4,SMA-2,False,95%,Legacy,4,7408671,Clean,32%,2.77%,2
L04802KA1992PTC081565,AAA-9674,Active,2020-06-08,85033184,WRVBQ5171Y,27SPIAW2349Z1Z5,4.07,15305973.12,47597635,2832353,189399592,16248227,57492855,0,1,24%,52%,1,Standard,False,59%,Modern,5,8471862,Clean,40%,1.15%,1
L71432GJ2024PTC676057,AAA-2858,Active,1997-04-02,48494126,LPXAP6418Y,27XFSMK0360F1Z5,2.35,8728942.68,2924755,4033766,240374235,855483,22953726,1,2,78%,45%,4,SMA-2,False,74%,Legacy,40,28435,Clean,5%,4.76%,2
U66148TN2013PTC987980,AAA-6814,Active,2022-08-15,26763201,ANOAU4741X,27WYCZM0804S1Z5,5.18,4817376.18,1778636,4986054,18738451,1090555,62817765,3,2,70%,26%,6,SMA-1,False,56%,Dilapidated,40,1343782,Clean,14%,1.32%,2
U36518TN2004PTC491067,AAA-6436,Active,2017-03-18,50266732,ABNHO6531J,27VVEXZ4148Q1Z5,9.19,9048011.76,1021037,3638153,60889,1539489,20644812,5,4,98%,48%,8,SMA-2,False,74%,Modern,23,8199887,Adverse,24%,1.12%,0
L14000DL2015PTC820074,AAA-6529,Active,2000-03-25,54977004,ZGKSN4242G,27NKVBS6010L1Z5,6.31,9895860.72,4152402,684473,157938063,1129361,17159414,4,2,74%,10%,7,SMA-1,False,93%,Legacy,40,157141,Qualified,3%,2.1%,2
L59095GJ2003PTC274631,AAA-6490,Struck Off,1996-06-30,40181597,DNYLJ0275U,27GDCPC4189N1Z5,3.99,7232687.46,4620746,4065143,69807353,324508,34166108,4,5,93%,52%,7,NPA,True,82%,Modern,7,5214733,Qualified,33%,2.36%,0
U73434KA1992PTC616949,AAA-4277,Active,2020-04-04,36195305,XWAJK1140K,27CDAPF7706D1Z5,8.87,6515154.9,1549936,2140169,48999324,354752,74539155,7,2,108%,40%,8,SMA-2,True,67%,Modern,32,5139527,Adverse,7%,4.93%,0
L82074TN1998PTC587300,AAA-1220,Active,2020-01-12,27898353,VTVHS2158L,27USVTN4184K1Z5,9.05,5021703.54,4298346,2959207,69664742,7071601,50101045,0,1,51%,72%,2,Standard,False,77%,Dilapidated,38,2837179,Clean,45%,1.67%,1
U49739KA1992PTC019090,AAA-7580,Dormant,2007-03-20,2748300,WKEUY1164B,27NUVGV5489D1Z5,3.37,494694.0,10914072,3862292,220077179,10599011,51441609,0,1,29%,21%,3,Standard,False,78%,Modern,7,266995,Clean,31%,2.42%,1
L79523MH2014PTC379877,AAA-5500,Active,2015-01-25,21307150,ADALO3367F,27TRJPB3901W1Z5,10.66,3835287.0,14844259,2298012,273849853,2557714,55465204,1,0,31%,56%,1,Standard,False,76%,Dilapidated,39,1469105,Clean,25%,2.29%,1
L04704KA2013PTC183844,AAA-6878,Active,2018-06-10,82863174,ZEGRQ2584A,27MJVBA1074D1Z5,7.42,14915371.32,32096781,4566860,21556602,11855923,8844208,3,2,95%,56%,8,SMA-2,False,92%,Modern,15,5998607,Qualified,39%,3.67%,0
L99821DL2024PTC037640,AAA-6379,Active,1997-09-23,5952412,KCOGL4436T,27HLTDU8558N1Z5,2.32,1071434.16,2290385,2381315,16301921,1284102,72326909,7,5,94%,44%,7,SMA-2,False,56%,Legacy,30,568931,Adverse,29%,2.89%,0
L64306GJ2021PTC695961,AAA-4315,Active,2011-03-05,32992977,BBMUG5139S,27KHCJP8443F1Z5,4.29,5938735.86,2769813,2028549,25300294,1970365,21199620,7,4,89%,23%,9,SMA-2,False,89%,Dilapidated,9,1591792,Qualified,5%,4.66%,0
U18684MH2023PTC020255,AAA-6916,Active,2015-10-13,12968878,BXALU2009G,27NMXLY2298Y1Z5,11.06,2334398.04,1300373,3548157,48037736,408242,27026986,3,1,69%,13%,4,SMA-1,False,59%,Modern,15,274053,Clean,12%,1.7%,2
L83444DL2018PTC250067,AAA-3165,Active,2019-03-14,45744841,OXKOC6444B,27GHHWD8231V1Z5,3.87,8234071.38,24275258,742684,84873031,9355482,2679998,1,1,12%,55%,1,Standard,False,93%,Dilapidated,5,3213738,Clean,49%,4.84%,1
U03878GJ2022PTC082930,AAA-6872,Active,2020-11-30,61430902,EOSKJ0570F,27KWBGO4980Y1Z5,5.25,11057562.36,8493084,458345,68606847,12895493,79767188,3,5,101%,67%,8,NPA,False,94%,Legacy,27,5501059,Adverse,49%,1.07%,0
L04216GJ2008PTC031031,AAA-4300,Active,1996-10-20,46439715,LKZJH2201S,27BOYRO8873K1Z5,3.78,8359148.7,1864913,4786044,13235883,4326433,11300063,0,1,57%,70%,3,Standard,False,70%,Dilapidated,26,4315487,Clean,38%,3.63%,1
U84209TN2009PTC151594,AAA-3060,Active,1998-10-01,66746878,PYZYZ7686N,27FDOJC7662H1Z5,0.22,12014438.04,4979557,1970124,152458161,1504961,2786060,7,3,90%,59%,10,NPA,False,82%,Dilapidated,15,4874917,Qualified,13%,4.71%,0
L39445DL2013PTC866715,AAA-1334,Active,1998-05-16,55477334,LEKEP0566F,27GCSVP0647Y1Z5,8.06,9985920.12,2804725,4718524,85454339,15813825,32246529,0,0,47%,25%,3,Standard,False,89%,Modern,27,6249499,Clean,50%,1.64%,1
U24480TN2024PTC332463,AAA-7330,Active,2005-09-19,71629479,MRIMU2633L,27GLVEW2643Y1Z5,7.86,12893306.22,3388536,1871984,8075062,9247139,20458860,6,2,110%,20%,8,SMA-2,True,69%,Modern,7,8748136,Adverse,46%,2.6%,0
U25707TN2007PTC413661,AAA-7459,Struck Off,2014-07-18,40305900,ZCVXY5418N,27GEPOV2583O1Z5,8.67,7255062.0,19648332,3233830,285308989,18653425,46883727,1,0,44%,56%,2,Standard,False,75%,Dilapidated,29,6788904,Clean,24%,1.27%,1
L05859KA2022PTC403571,AAA-3965,Active,1996-03-23,66756939,VZJGK5663D,27EKFZW6460S1Z5,10.71,12016249.02,25448502,3157805,26805596,9058992,77755585,0,1,43%,16%,1,Standard,False,87%,Modern,19,4115858,Clean,44%,1.28%,1
L27413GJ1996PTC341802,AAA-9280,Active,2022-03-31,2011329,GAJUU8177Q,27ULYOF3369H1Z5,3.78,362039.22,4233617,607324,54419075,1746217,89637092,4,1,90%,59%,6,SMA-1,False,82%,Legacy,22,3246,Qualified,18%,2.48%,2
U30702MH2011PTC817518,AAA-1632,Active,2008-11-06,85764736,PALEA8260U,27KOCAR5933P1Z5,10.22,15437652.48,19270967,595263,283901593,1542955,92556770,1,0,28%,33%,2,Standard,False,67%,Legacy,14,14550669,Clean,14%,3.95%,1
L30721TN2017PTC087350,AAA-4891,Dormant,1997-10-14,27834452,DYVXG9203V,27JVEWA9322N1Z5,9.22,5010201.36,2173060,283031,15520164,766102,51876897,2,2,70%,53%,4,SMA-2,False,60%,Legacy,25,4877830,Qualified,41%,1.78%,2
L46435MH2005PTC177691,AAA-8448,Active,2018-04-07,24044579,VWXOK9376E,27DKEUA7597B1Z5,11.96,4328024.22,2767699,1691970,315195538,1011779,74287618,3,2,67%,36%,4,SMA-1,False,45%,Dilapidated,11,1741599,Clean,44%,4.07%,2
L88986MH2001PTC495916,AAA-5056,Active,2012-05-01,59209960,WLHGF7837A,27MMNHF1875R1Z5,9.14,10657792.8,383650,4352872,368562914,1815944,55341200,2,1,65%,29%,5,SMA-1,False,49%,Legacy,34,8687282,Qualified,39%,5.28%,2
L82407DL2023PTC410526,AAA-5424,Active,2017-07-20,81800425,BOTPH0946T,27BNARC0641K1Z5,3.33,14724076.5,4693981,2296431,75605471,1042296,23822231,2,3,64%,30%,7,SMA-2,False,61%,Dilapidated,20,9147848,Qualified,1%,3.99%,2
U30847KA2010PTC568108,AAA-2290,Active,2012-08-10,58841300,PSIPL1751N,27HOLRV3517X1Z5,6.69,10591434.0,24761538,832643,471583276,18719682,55555915,1,0,30%,19%,3,Standard,False,83%,Legacy,32,9760258,Clean,46%,5.19%,1
U41109MH2017PTC595831,AAA-9826,Active,2021-06-17,49087080,RRQYS8410D,27PSRSK5606Q1Z5,9.86,8835674.4,26730329,1429580,48437834,16985640,42977053,0,1,22%,49%,1,Standard,False,57%,Dilapidated,15,2139998,Clean,49%,3.14%,1
U21483DL2006PTC022843,AAA-9297,Active,2016-05-22,50509017,PRPFM8507A,27FYOOI0946E1Z5,3.41,9091623.06,605566,1891010,175323166,1900390,47626978,8,3,108%,72%,9,NPA,False,77%,Modern,28,1078559,Qualified,40%,1.48%,0
U03499MH1998PTC317100,AAA-1431,Active,2018-07-28,46809246,QBMIT9815M,27OKZZD4277S1Z5,5.36,8425664.28,1775567,4752989,83979759,929596,81041082,2,1,80%,64%,6,SMA-2,False,95%,Modern,4,7979265,Clean,38%,1.29%,2
L61729KA1995PTC074137,AAA-5007,Active,2012-10-30,1428998,FADDP2229N,27BUVJE3895O1Z5,2.67,257219.64,547932,3468302,289188161,444200,60557425,2,1,73%,41%,7,SMA-2,False,78%,Legacy,25,254761,Qualified,30%,3.64%,2
L11833GJ1999PTC112202,AAA-8707,Active,2020-05-31,71238890,WGBAC2840H,27ETWXF8398A1Z5,0.49,12823000.2,44882803,558904,302418896,5091925,84817073,1,0,49%,72%,2,Standard,False,95%,Modern,12,9051457,Clean,37%,4.79%,1
L77218MH2000PTC461433,AAA-2454,Active,2019-08-02,13413149,MVYIT0149X,27QCCZP9448T1Z5,3.85,2414366.82,23505942,4408617,233863814,14114281,28282689,1,0,35%,56%,3,Standard,False,95%,Modern,25,165242,Clean,31%,4.11%,1
L45715KA2018PTC040444,AAA-1592,Active,1998-06-14,25907048,NXVCL2257N,27RHHWA5332X1Z5,8.7,4663268.64,3187331,1685366,1674738,1925617,20965970,3,4,92%,12%,10,NPA,False,48%,Legacy,15,1016095,Qualified,44%,1.76%,0
U08656DL2013PTC631545,AAA-7540,Struck Off,1999-04-26,11095957,VJJPM5188F,27WVSLO0446G1Z5,8.44,1997272.26,3492439,3840462,29897237,6383787,12205561,1,0,25%,27%,3,Standard,False,58%,Legacy,7,849592,Clean,13%,0.94%,1
U72858DL2018PTC688822,AAA-1545,Active,2023-03-31,61581754,PLYXZ0197N,27FKIRA4206Q1Z5,7.49,11084715.72,48961931,904983,18891425,6218292,15507623,0,1,46%,27%,1,Standard,False,81%,Legacy,20,2522623,Clean,24%,0.96%,1
L14175GJ2001PTC251751,AAA-2186,Active,2001-04-19,70604142,XBGCC6942Q,27TMSPP5653R1Z5,10.15,12708745.56,3449488,3254616,151289606,653548,52919124,4,1,62%,30%,4,SMA-1,False,70%,Dilapidated,29,2653339,Clean,46%,1.06%,2
L65998DL2018PTC301832,AAA-3844,Active,2014-06-21,15209965,KIKFC8775X,27GSMIT0980B1Z5,0.15,2737793.7,28608554,174368,160751550,19054422,64576172,0,0,52%,39%,3,Standard,False,63%,Modern,38,21484,Clean,26%,3.55%,1
U40451TN2003PTC467252,AAA-3445,Active,2007-05-29,7874726,OXDZO2937C,27IGGJB0824H1Z5,1.93,1417450.68,43727140,692494,181457552,1982055,93796917,0,1,20%,26%,1,Standard,False,63%,Dilapidated,28,783450,Clean,3%,4.26%,1
U09311DL2005PTC299558,AAA-8285,Dormant,2025-08-01,31596064,UCUZS6186C,27WQKJY2782P1Z5,5.43,5687291.52,30315329,4155962,28271020,16379316,61184773,1,0,54%,53%,1,Standard,False,49%,Dilapidated,7,6052685,Clean,22%,5.07%,1
L58999GJ1996PTC649059,AAA-3787,Active,2010-04-07,69436246,ZCATJ4878B,27ZIBUG3650K1Z5,6.63,12498524.28,48851384,4565120,73182466,10557730,7152794,4,3,110%,74%,8,NPA,False,87%,Dilapidated,20,12808073,Adverse,1%,2.75%,0
L35895GJ1990PTC725320,AAA-9882,Active,2025-12-28,41604797,TNTGL3952T,27ZZMLK3894K1Z5,8.31,7488863.46,24282755,2601873,191197757,17892956,38580830,0,0,52%,73%,3,Standard,False,76%,Modern,37,8259269,Clean,41%,3.68%,1
U48700DL2014PTC909384,AAA-8798,Active,2005-01-10,76636359,YOCNR9509J,27YUZYP4554Z1Z5,9.57,13794544.62,44342964,4598938,38261944,9960820,97169575,1,0,16%,36%,1,Standard,False,48%,Legacy,18,3690742,Clean,23%,4.73%,1
U70415MH2020PTC683667,AAA-7831,Active,2020-01-14,43886221,KFZIL5122D,27TXVYF2724O1Z5,3.91,7899519.78,4027597,3375349,32173895,419953,18760311,8,2,89%,35%,8,NPA,False,95%,Dilapidated,40,1118681,Adverse,25%,4.42%,0
L19229KA2023PTC911828,AAA-9723,Active,2010-03-09,14286194,XBYPU9301T,27JBXWJ6919U1Z5,5.27,2571514.92,1095963,4503265,83677088,1685687,51273043,5,4,92%,42%,7,SMA-2,False,41%,Modern,30,1339706,Qualified,18%,5.48%,0
U14905GJ1992PTC366778,AAA-1608,Active,2013-03-27,53497557,CBXRU2026D,27SDBGH2947S1Z5,5.82,9629560.26,41892022,1736554,127854555,5247172,64581753,1,1,52%,48%,3,Standard,False,42%,Legacy,22,10509075,Clean,18%,4.51%,1
L37317GJ2007PTC575891,AAA-9140,Active,2003-01-12,76497733,FSWGG7156E,27FPGBL1419M1Z5,7.98,13769591.94,11295127,975538,308572245,12322572,38804147,0,1,41%,44%,3,Standard,False,65%,Modern,13,7383791,Clean,24%,0.92%,1
U31266GJ2002PTC394632,AAA-7824,Active,2023-01-17,38640316,YCRNQ6994I,27PDORD0205M1Z5,7.34,6955256.88,4065105,2368860,432483945,514142,98251908,1,3,69%,22%,7,SMA-1,False,70%,Dilapidated,36,2437948,Qualified,44%,5.04%,2
L61291MH2018PTC233038,AAA-8623,Active,1996-08-13,55693201,NKEMV5805P,27KHYOP2569B1Z5,6.99,10024776.18,41802197,4541469,72599819,5098493,50857867,0,0,51%,32%,1,Standard,False,46%,Modern,39,7076560,Clean,12%,4.43%,1
L24638MH1997PTC851668,AAA-6466,Active,2006-02-17,35911487,LNPSN7376Q,27YVCOW2697N1Z5,4.41,6464067.66,3978426,3149476,74002317,188840,5631605,6,2,95%,59%,8,SMA-2,False,76%,Dilapidated,21,2670410,Adverse,17%,1.17%,0
U22415DL2018PTC939438,AAA-1443,Active,2017-11-28,32984575,UOBHA3326K,27TWBSD8434C1Z5,2.6,5937223.5,3262124,2232799,319478247,1949636,56794824,4,2,69%,29%,7,SMA-2,False,88%,Modern,38,113481,Clean,35%,2.6%,2
L97605KA2019PTC035878,AAA-2860,Active,2025-09-15,25524834,JAUET6929P,27SMEAP3529K1Z5,11.85,4594470.12,2032130,1301681,80882342,1795733,609891,3,3,107%,73%,10,SMA-2,True,59%,Dilapidated,21,2556730,Qualified,8%,5.48%,0
U84124MH2000PTC819996,AAA-2618,Active,2004-07-15,47036612,RQHCU6141V,27WKHFC1775J1Z5,11.65,8466590.16,48953610,3178935,8608783,13941152,8057541,0,0,14%,40%,2,Standard,False,73%,Dilapidated,33,5716956,Clean,50%,2.94%,1
U78493TN2019PTC244817,AAA-1585,Active,2004-09-14,28631943,XRTYV8725Z,27UZATI4112Y1Z5,5.66,5153749.74,2929070,72121,27354508,1322364,65991193,3,3,74%,25%,4,SMA-2,False,81%,Modern,14,2891188,Clean,46%,3.96%,2
L06912MH2008PTC267649,AAA-7828,Active,2008-04-19,67079278,IVISW6108P,27IDNQC8705Z1Z5,1.99,12074270.04,1281960,1231709,314823401,5000181,12236737,0,0,48%,73%,3,Standard,False,47%,Legacy,12,867693,Clean,39%,4.89%,1
L17921MH2001PTC941019,AAA-4543,Dormant,2015-01-05,24281641,SRTOG8537J,27CDNRZ0756G1Z5,3.25,4370695.38,319757,2789731,133298172,969765,45087807,4,2,89%,73%,5,SMA-2,False,89%,Dilapidated,9,846536,Qualified,32%,4.91%,2
L08504MH2014PTC623187,AAA-2737,Active,1999-10-06,83554797,CKKRD3132A,27NPYUR4348G1Z5,7.03,15039863.46,23690813,207265,5941026,9155098,63902939,1,1,57%,41%,1,Standard,False,71%,Legacy,3,3278115,Clean,15%,4.49%,1
U32202TN2021PTC023800,AAA-6814,Dormant,2004-06-24,64530249,WNKYI5060H,27LUYJQ8845Y1Z5,7.11,11615444.82,3929511,243771,71402808,350153,21952779,3,3,87%,44%,5,SMA-1,False,87%,Legacy,19,1140593,Clean,15%,5.3%,2
U44478GJ2023PTC808926,AAA-6358,Active,2006-03-26,22593002,QKQRB1603J,27KILVR4405R1Z5,6.04,4066740.36,4297983,3870120,7002230,1166170,59501281,3,4,95%,65%,9,SMA-2,False,79%,Legacy,24,1445098,Adverse,11%,0.55%,0
U79148MH2012PTC428759,AAA-4840,Active,2025-02-20,48302462,GJWVT3403J,27LIWLC4921Y1Z5,11.43,8694443.16,18942081,415821,270394138,4463751,40724816,1,1,19%,44%,1,Standard,False,47%,Dilapidated,9,9422945,Clean,27%,1.12%,1
U18197DL2021PTC976959,AAA-7043,Active,2022-04-20,29900176,MCJQY9282O,27IZWFK0975C1Z5,11.3,5382031.68,26336752,276935,29869939,10268983,47883438,1,0,17%,11%,2,Standard,False,79%,Dilapidated,11,312717,Clean,6%,1.62%,1
U66574TN2009PTC974099,AAA-2266,Active,2015-10-20,28434173,HKCEC1218I,27SHKBM0353J1Z5,6.54,5118151.14,19270082,4158117,159718975,6782146,53987322,1,0,19%,42%,3,Standard,False,54%,Dilapidated,33,2368235,Clean,10%,4.56%,1
L22401MH2018PTC031414,AAA-9739,Active,2002-03-02,49817256,IOXTR3124Z,27ZJUJA4605X1Z5,10.74,8967106.08,20986301,4578205,222370179,1626077,77313115,0,1,11%,64%,2,Standard,False,62%,Legacy,26,3258596,Clean,1%,4.44%,1
L67105TN1994PTC080642,AAA-3200,Active,2000-02-11,46173969,UGZXG2682N,27BSSMO7936P1Z5,6.96,8311314.42,2428249,3486832,27948732,1018410,75291566,4,2,81%,24%,5,SMA-2,False,82%,Legacy,38,3907910,Qualified,2%,1.3%,2
L11900TN2014PTC182493,AAA-7052,Active,1996-11-21,24497389,PIYSQ0609U,27JUFDU7105A1Z5,7.93,4409530.02,3105361,1519181,160872806,869157,26847998,3,3,72%,71%,7,SMA-2,False,62%,Modern,39,2679154,Qualified,10%,2.86%,2
U79911KA1990PTC997002,AAA-9303,Active,2019-04-15,74178751,FBAVY4970W,27SOCBN5174A1Z5,2.73,13352175.18,4192910,1552181,114667307,769155,71103254,3,2,87%,21%,6,SMA-1,False,72%,Modern,30,4379965,Clean,15%,2.99%,2
L40128MH2023PTC913986,AAA-3839,Active,2006-06-01,34449749,RGDXA4854B,27WZUKV8102L1Z5,6.46,6200954.82,1369511,3924529,157072092,1080622,60590505,4,5,100%,46%,10,NPA,False,81%,Legacy,35,2395650,Adverse,48%,2.44%,0
U96617KA2004PTC302118,AAA-3901,Active,2008-08-06,38082999,BCSUZ6936W,27FGPGP9939U1Z5,1.23,6854939.82,27287300,2940022,116292354,10981937,49588386,1,1,47%,75%,2,Standard,False,57%,Legacy,32,6061572,Clean,11%,2.73%,1
L76726DL2014PTC704032,AAA-2372,Active,2001-10-21,18970052,YKGVL5567G,27ZLLIX0082B1Z5,1.91,3414609.36,12737593,4475099,60012322,7361994,13712290,0,1,21%,50%,3,Standard,False,87%,Modern,4,2820444,Clean,18%,4.96%,1
L32534KA1999PTC402142,AAA-5932,Active,2010-12-17,52273161,FLNFI4554N,27KWGTD2110C1Z5,3.93,9409168.98,46739834,16676,22402605,16641917,80118749,0,0,22%,69%,3,Standard,False,95%,Dilapidated,26,7522789,Clean,17%,3.5%,1
L38285DL2011PTC945205,AAA-8408,Active,2014-03-17,58890015,RQKGX2531R,27AJSGW2647C1Z5,6.02,10600202.7,1514776,3435842,147538,740042,24251299,5,2,100%,10%,8,NPA,True,88%,Legacy,28,7345376,Qualified,9%,0.58%,0
U71014MH1996PTC026805,AAA-2993,Active,2010-07-20,77818151,CBGCW9673U,27RXYGC9841G1Z5,0.19,14007267.18,260686,1033468,205757157,1327034,47443143,7,4,105%,71%,9,SMA-2,True,49%,Legacy,19,14508509,Adverse,47%,5.45%,0
L69049GJ2024PTC038191,AAA-9974,Active,2017-05-22,42156150,UUIOE6957H,27IEOWK9676N1Z5,3.63,7588107.0,21283244,3563746,16340503,18751415,15525717,8,4,98%,59%,9,SMA-2,False,45%,Legacy,14,2805372,Qualified,33%,3.61%,0
U19834GJ2005PTC944281,AAA-2644,Active,2004-03-20,9477542,DPFWF6630G,27JRIZY4127E1Z5,10.43,1705957.56,23511782,266665,36950844,9188639,41616331,0,0,20%,59%,2,Standard,False,93%,Modern,21,861830,Clean,8%,1.14%,1
L69900GJ2024PTC441356,AAA-4521,Active,2024-12-07,39880505,BVGFK9298E,27ZNQKO8542C1Z5,0.38,7178490.9,1268963,1158128,197161251,1557559,30082240,5,4,102%,44%,7,NPA,True,57%,Legacy,28,3059557,Adverse,37%,3.21%,0
U44498MH1994PTC361333,AAA-8592,Active,2023-05-07,27800678,YDAWK1566P,27FPWSB8834L1Z5,0.23,5004122.04,2374923,4645171,74877712,1186559,21440825,3,4,105%,59%,7,SMA-2,False,82%,Dilapidated,29,2249432,Adverse,16%,3.35%,0
L38173TN2005PTC017213,AAA-9733,Active,2020-03-01,61171258,TZKAJ3977D,27KRPLW9706I1Z5,6.48,11010826.44,14481023,3652985,105039449,15553890,21925784,1,0,49%,28%,2,Standard,False,84%,Dilapidated,4,4916480,Clean,37%,1.07%,1
L51228DL1991PTC227059,AAA-9276,Active,2009-12-10,25932313,FTCJU5195E,27RIYYI6449E1Z5,8.97,4667816.34,2089394,1285802,108604284,1345955,21993793,2,3,65%,50%,6,SMA-2,False,82%,Dilapidated,38,3081273,Qualified,40%,4.49%,2
U00374KA2019PTC352397,AAA-8841,Struck Off,2017-01-23,67127726,UATQM0032Y,27QTTTT6882X1Z5,1.37,12082990.68,30959189,3600614,33658936,7163466,64178957,0,0,23%,30%,1,Standard,False,93%,Legacy,40,11856784,Clean,16%,2.04%,1
U00999DL1995PTC669698,AAA-6577,Active,2017-12-25,37802555,DEPAT9062Y,27VQKRN5684H1Z5,9.64,6804459.9,2077301,4977618,180266621,938796,56946223,4,1,77%,10%,4,SMA-2,False,74%,Modern,3,3672271,Clean,9%,2.97%,2
